id,tournament_id,match_date,team1,team2,location,match_name,status,match_time,type_match,created_at,updated_at,completed_and_captured,currently_live,sportsmonk_id,tournament_league_id,tournament_stage_id,tournament_season_id,match_note,points_status,leaderboard_processed
318f6406-9c68-4f08-bdd5-4b3ccd2b4c24,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-15,India,Pakistan,R.Premadasa Stadium,India vs Pakistan,Scheduled,2026-02-15 13:30:00+00,T20I,2026-02-01 04:25:05.194+00,2026-02-01 04:25:05.194+00,false,false,68508,17,6442,1770,,pending,false
06ea68f4-55a6-4843-9a75-28ad6c76838b,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-15,Namibia,United States of America,MA Chidambaram Stadium,Namibia vs United States of America,Scheduled,2026-02-15 09:30:00+00,T20I,2026-02-01 04:25:10.484+00,2026-02-01 04:25:10.484+00,false,false,68534,17,6442,1770,,pending,false
fcd8976a-7dc2-417f-8b39-a9025251879a,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-15,Nepal,West Indies,Wankhede Stadium,Nepal vs West Indies,Scheduled,2026-02-15 05:30:00+00,T20I,2026-02-01 04:25:10.301+00,2026-02-01 04:25:10.301+00,false,false,68533,17,6442,1770,,pending,false
f7e0dae5-3e01-43a1-97e4-dd0ae55b4f97,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-14,New Zealand,South Africa,Narendra Modi Stadium,New Zealand vs South Africa,Scheduled,2026-02-14 13:30:00+00,T20I,2026-02-01 04:25:10.126+00,2026-02-01 04:25:10.126+00,false,false,68532,17,6442,1770,,pending,false
a8f75727-1a2f-4a0a-881f-7b446125c3d6,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-14,Scotland,England,Eden Gardens,Scotland vs England,Scheduled,2026-02-14 09:30:00+00,T20I,2026-02-01 04:25:09.942+00,2026-02-01 04:25:09.942+00,false,false,68531,17,6442,1770,,pending,false
5a7457e8-3e18-45ba-87c8-effbce0a5c7b,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-14,Ireland,Oman,Sinhalese Sports Club,Ireland vs Oman,Scheduled,2026-02-14 05:30:00+00,T20I,2026-02-01 04:25:09.767+00,2026-02-01 04:25:09.767+00,false,false,68530,17,6442,1770,,pending,false
b37ff16d-0896-486e-8e5f-226c9c6ba40e,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-13,Netherlands,United States of America,MA Chidambaram Stadium,Netherlands vs United States of America,Scheduled,2026-02-13 13:30:00+00,T20I,2026-02-01 04:25:09.58+00,2026-02-01 04:25:09.58+00,false,false,68529,17,6442,1770,,pending,false
7eb01e22-5431-4021-9d1e-e737470c35e6,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-13,Canada,United Arab Emirates,Arun Jaitley Stadium,Canada vs United Arab Emirates,Scheduled,2026-02-13 09:30:00+00,T20I,2026-02-01 04:25:09.398+00,2026-02-01 04:25:09.398+00,false,false,68528,17,6442,1770,,pending,false
0d4aa6b2-581e-440c-9518-b7012d0926f8,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-13,Australia,Zimbabwe,R.Premadasa Stadium,Australia vs Zimbabwe,Scheduled,2026-02-13 05:30:00+00,T20I,2026-02-01 04:25:09.224+00,2026-02-01 04:25:09.224+00,false,false,68527,17,6442,1770,,pending,false
91c6778d-82a8-4d20-b52d-e064b89115b5,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-12,India,Namibia,Arun Jaitley Stadium,India vs Namibia,Scheduled,2026-02-12 13:30:00+00,T20I,2026-02-01 04:25:09.047+00,2026-02-01 04:25:09.047+00,false,false,68526,17,6442,1770,,pending,false
dc1ac6c8-97b4-42ab-94ee-e1d9f3b55be0,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-12,Italy,Nepal,Wankhede Stadium,Italy vs Nepal,Scheduled,2026-02-12 09:30:00+00,T20I,2026-02-01 04:25:08.866+00,2026-02-01 04:25:08.866+00,false,false,68525,17,6442,1770,,pending,false
a3241f9a-7d15-47f2-a578-8f788c1dcb62,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-12,Sri Lanka,Oman,Pallekele International Cricket Stadium,Sri Lanka vs Oman,Scheduled,2026-02-12 05:30:00+00,T20I,2026-02-01 04:25:08.689+00,2026-02-01 04:25:08.689+00,false,false,68524,17,6442,1770,,pending,false
c1f872c7-4d6c-4b5f-b7ab-49de910b8fc1,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-11,England,West Indies,Wankhede Stadium,England vs West Indies,Scheduled,2026-02-11 13:30:00+00,T20I,2026-02-01 04:25:08.507+00,2026-02-01 04:25:08.507+00,false,false,68523,17,6442,1770,,pending,false
